query,kind,top1_r,r_rank15,background_r_sd,top1_over_sd,prox_frac_top15,profile_sd,min_effect,n_dep_lines,frac_dep_lines,n_lines
EHMT1,null,0.4844417566319017,0.20861427652222514,0.06666185981206489,7.267150331503717,0.06666666666666667,0.1990167348525921,-1.0872609615325928,51,0.042218543046357616,1208
KRTAP19-6,null,0.2678869454696826,0.2242525605873252,0.06825086570027526,3.9250336639847516,0.06666666666666667,0.1293442146648412,-0.8906899690628052,13,0.01076158940397351,1208
EIF4A3,null,0.4558243641713231,0.3143060587647802,0.06659786022536282,6.844429575197208,0.0,0.39721958123573403,-3.6836705207824707,1207,0.9991721854304636,1208
GHDC,null,0.20438881507077686,0.17924953523867265,0.057442489480195924,3.5581468860475254,0.3333333333333333,0.10199853914595192,-0.34108445048332214,0,0.0,1208
DIS3L2,null,0.28840016339290625,0.20095514306574092,0.05990892185626988,4.813976857817934,0.13333333333333333,0.1486066973910753,-0.5871196389198303,6,0.004966887417218543,1208
JAKMIP3,null,0.1881327496739125,0.15184343814350237,0.04564395098231718,4.1217455024171015,0.13333333333333333,0.13027603870036644,-0.47736337780952454,0,0.0,1208
MAP2K7,null,0.3200457090851991,0.19305283528790418,0.05973199702364673,5.3580279420173955,0.06666666666666667,0.21575856643143856,-0.9796428084373474,47,0.03890728476821192,1208
SART1,null,0.323998596999565,0.25302934987314035,0.06261969529997674,5.174068564969293,0.06666666666666667,0.3139394190278671,-2.713881731033325,1192,0.9867549668874173,1208
WDR24,null,0.708610345710079,0.23656721403553965,0.053788035006516445,13.174125911538328,0.13333333333333333,0.32942392986544955,-1.7210181951522827,725,0.6001655629139073,1208
SPRR2F,null,0.44966211855185223,0.28868081600423473,0.07884634430480675,5.70301797142977,0.13333333333333333,0.20296116633399816,-0.7145734429359436,3,0.007874015748031496,381
KBTBD7,null,0.2755942757805684,0.23308607082473032,0.07081103799364576,3.891967743860765,0.06666666666666667,0.1074084738314934,-0.44555097818374634,0,0.0,1165
SEBOX,null,0.32926522225545335,0.22711142899589695,0.06369265184494584,5.169595121538048,0.8666666666666667,0.1567562874740509,-0.7224617600440979,23,0.01903973509933775,1208
ZNF607,null,0.32009085528027553,0.21522389083230115,0.062356922645306505,5.1332048103302,0.3333333333333333,0.10481038914858803,-0.4876939058303833,0,0.0,1208
ZFP42,null,0.2770562640256039,0.20801566605230604,0.07048242034251886,3.9308562713824453,0.0,0.13663973366573126,-0.3927438259124756,0,0.0,1208
AQP10,null,0.2861148402388269,0.21128551129869844,0.05930798217029079,4.8242214583748,0.5333333333333333,0.15718933380793673,-0.8435023427009583,70,0.057947019867549666,1208
STK17B,null,0.3377269484564183,0.2868416414612318,0.08670341848343308,3.8951976100106105,0.0,0.1342678390411908,-0.6352702379226685,4,0.0033112582781456954,1208
ZNF81,null,0.3312017037810814,0.28794844640897477,0.08842430207583989,3.74559590526387,0.0,0.11846044952046024,-0.36130666732788086,0,0.0,1208
SOX21,null,0.4875924217344079,0.28675606225287864,0.08516555954524306,5.725230061752614,0.0,0.12204127193420962,-0.3789083957672119,0,0.0,1208
SMPX,null,0.3540182992394318,0.2859619729207787,0.08518846346033596,4.155707062427108,0.0,0.12113457166369261,-0.4514716863632202,0,0.0,1208
TAGLN3,null,0.22545612809335247,0.18996323733355397,0.05582371056050027,4.038716270015929,0.06666666666666667,0.1289345230733467,-0.5526714324951172,4,0.0033112582781456954,1208
DNAJC24,null,0.5045459509459024,0.2559116474209844,0.062337132998054635,8.093826691735211,0.0,0.174140189126456,-0.7210558652877808,7,0.005794701986754967,1208
RFC4,null,0.337900792865599,0.18716665159074072,0.05090238445396886,6.638211480469318,0.0,0.2277173521606576,-2.1413462162017822,1158,0.9586092715231788,1208
EPSTI1,null,0.3085172330273179,0.2682918491902482,0.07782023599954153,3.9644859600417495,0.0,0.16702919537625585,-0.9447890520095825,32,0.026490066225165563,1208
METTL3,null,0.5643575492517177,0.2828585055767036,0.05866558733817617,9.61990793680278,0.0,0.2682014420855264,-1.7221535444259644,960,0.7947019867549668,1208
RMP64,null,0.3971028124367569,0.24397566071391655,0.05742742298582502,6.91486387147783,0.0,0.37334385604379805,-2.6918277740478516,1188,0.9834437086092715,1208
TIMM8B,null,0.3264148766134796,0.22196081379310356,0.06439948505400021,5.068594513446411,0.06666666666666667,0.1612538549120256,-0.6371183395385742,2,0.005221932114882507,383
ADAMTSL1,null,0.2177201387362794,0.15588016348278066,0.04552629846827292,4.782293884226227,0.13333333333333333,0.10602354869854805,-0.6300767064094543,1,0.0008278145695364238,1208
COX6C,null,0.640490902195365,0.5812182528205383,0.08645049325887809,7.4087593725740755,0.06666666666666667,0.24706530206064292,-1.299066185951233,566,0.4685430463576159,1208
UBE2E2,null,0.3025463342205134,0.2419894834505115,0.0686614334197343,4.406350394274717,0.0,0.11017919065887809,-0.46816590428352356,0,0.0,1208
SERPINF1,null,0.26414936670411,0.2125538527958191,0.06333199791001808,4.170867419648006,0.2,0.1405191427654408,-0.9639608860015869,5,0.0041390728476821195,1208
ERBB3,null,0.6470731981383734,0.2214601530683749,0.04968401675961853,13.023769822577878,0.0,0.23795147872072187,-2.883464813232422,96,0.07947019867549669,1208
UCP2,null,0.26696905257652676,0.16020082028165067,0.04941216283424012,5.4029015785467855,0.2,0.12495508620849331,-0.5969135165214539,2,0.0016556291390728477,1208
ANKS3,null,0.23494567961852242,0.16439214762958443,0.05175408773429509,4.539654545255071,0.0,0.15477442265569413,-1.0592305660247803,13,0.01076158940397351,1208
ACHE,null,0.4095528348187713,0.1489540234150903,0.04615009229892071,8.874366537905045,0.26666666666666666,0.21424249068522017,-1.3163518905639648,116,0.09602649006622517,1208
SEC63,null,0.32282582983298597,0.22486305239698193,0.04375865866460427,7.37741602884448,0.0,0.2519229385149781,-1.8557058572769165,673,0.5571192052980133,1208
APRT,null,0.28216039849977453,0.24783000555605952,0.07632136840211697,3.6970039244205704,0.4666666666666667,0.15688740840814916,-0.8021680116653442,20,0.016556291390728478,1208
HAGHL,null,0.21152652402180058,0.16169596178312606,0.046284453912011615,4.570141940616173,0.6666666666666666,0.11148749909323855,-0.4907817244529724,0,0.0,1208
OR7D2,null,0.2336685715891408,0.14072271729542635,0.04480621197861666,5.215093204055209,0.13333333333333333,0.12105567273844882,-0.6443963646888733,2,0.001834862385321101,1090
ANKS1B,null,0.1910632074445246,0.14628012836449614,0.04507722249366436,4.238575424015504,0.0,0.11349515259332373,-0.7069718241691589,1,0.0008278145695364238,1208
MED15,null,0.5032035372915044,0.3111833667098105,0.05186148796789392,9.702836478641423,0.0,0.2473591356710471,-2.1543238162994385,184,0.152317880794702,1208
TMEM87B,null,0.22738652944553653,0.18613252830986707,0.05754764912379432,3.951273994814128,0.0,0.12746676117192826,-0.6093281507492065,1,0.0008278145695364238,1208
RD3L,null,0.32839729033094406,0.26346916343192106,0.07964490301376285,4.123268130217902,,0.1091771890656762,-0.29911917448043823,0,0.0,1208
IL31RA,null,0.22154455478719529,0.15649742322670065,0.04846906624405692,4.570844292143965,0.2,0.1384346056112126,-0.7838340997695923,8,0.006622516556291391,1208
MRPL45,null,0.5765970735962568,0.533161734688325,0.08326179434444184,6.92510986744964,0.0,0.3083161923336169,-2.2543206214904785,1034,0.8559602649006622,1208
SRSF9,null,0.26260361563699836,0.1521863865780062,0.046547662763879186,5.641606904499141,0.0,0.17151840914901922,-1.4156291484832764,66,0.054635761589403975,1208
OR7G2,null,0.2273933221681311,0.1949110267682887,0.06245950800723921,3.640651830651238,0.06666666666666667,0.16968432710670753,-1.0060272216796875,174,0.1596330275229358,1090
