Term,Correlation,F-stat,p-val,FDR
~ XRCC5,-0.0326350365701281,19.72968206013423,8.97219865629527e-06,0.0009990523086747
KIF18B,-0.0325804797053567,19.663701885023876,9.28704897849732e-06,0.0010294942552904
8s,-0.032502041045841,19.56903373620273,9.758275385758777e-06,0.0010750689178691
PALB2,-0.0324977393288549,19.563848593195942,9.784768049551948e-06,0.0010750689178691
WDR46,-0.0323295460901422,19.361654472602368,1.087617200813491e-05,0.0011897190622643
a 7,-0.0323199194675647,19.35011366963265,1.0942032836716791e-05,0.0011916737603882
~ dihydrodiol dehydrogenase,-0.0321702464591801,19.17112330293789,1.201631562712834e-05,0.0013029569141363
~ cyclin dependent kinase inhibitor 1b,0.0321084679743933,19.09748713365748,1.2488462299510076e-05,0.0013482652493875
19p13_2,0.0320032574666258,18.972409782378502,1.3333547136803008e-05,0.0014332697357314
~ large,-0.0319605415780431,18.92174552644113,1.369199390203602e-05,0.0014608270863785
~ METTL3,0.0319587094678976,18.91957402564844,1.370757162926156e-05,0.0014608270863785
~ ZC3H13,0.031914213753981,18.86687404929329,1.4091133485294512e-05,0.0014918063714821
~ 20a,-0.031911092456063,18.86318000366003,1.4118420413930456e-05,0.0014918063714821
MLL5,-0.0318290728004057,18.76624003082021,1.4853777297175105e-05,0.0015628565426531
~ RZZ,-0.031690941176247,18.603546837679637,1.6175427261964565e-05,0.0016947343221174
~ chromosomal breakage,-0.0316244248274451,18.525456453715144,1.685114225073366e-05,0.0017578815009613
~ n6 methyladenosine methyltransferase,0.0316178164155148,18.517707155376957,1.6919724486721014e-05,0.0017578815009613
~ h4,-0.0315844386052539,18.47859179474664,1.7270203779257543e-05,0.0017858142508959
~ MW,0.0315781958268977,18.471280505153462,1.733651853639216e-05,0.0017858142508959
~ arising,-0.0315679536190263,18.459288388595297,1.7445843622995724e-05,0.0017858142508959
~ octamer,-0.0315651154696348,18.455966024865983,1.7476253995719988e-05,0.0017858142508959
14q32_33,-0.031554146136183,18.443128041979396,1.7594264359704718e-05,0.0017905048291632
~ g antigen 2a,-0.0315305052298046,18.415475088361113,1.7851184667755326e-05,0.0018018811645733
~ cancer testis antigen 4 2,-0.0315305052298046,18.415475088361113,1.7851184667755326e-05,0.0018018811645733
regioselectivity,-0.0314566870899716,18.329263355972156,1.867661397611874e-05,0.0018775668082631
~ CCR6,-0.0312944421354692,18.14049146625519,2.062041847867344e-05,0.0020646194001771
~ odorant,-0.0312686468333525,18.110568940294556,2.094668047918769e-05,0.0020888635460992
~ small ribosomal subunit,-0.0312416946933236,18.07933094591197,2.12928212403657e-05,0.002114888176878
inner cell mass,-0.0312227558084142,18.057396629781877,2.1539299299497436e-05,0.0021308459797044
~ valosin,-0.031212115183432,18.04507890992782,2.1678969638029633e-05,0.0021361527582615
