Term,Correlation,F-stat,p-val,FDR
~ neurogenetic,-0.0652123293350546,79.03134180916938,6.66398346279733e-19,7.194494494118285e-16
greatest,-0.0646659786842339,77.70709813087859,1.299100623094646e-18,1.344081982169298e-15
~ 16s rRNA,0.0640406949407175,76.20543685616732,2.7700664202850826e-18,2.7513407712839556e-15
~ tRNA val,0.0634026647515433,74.68845054032676,5.953903292541816e-18,5.6862066406579175e-15
RNA folding,-0.0631749603181357,74.150795617158,7.80921492260627e-18,7.181874657156899e-15
39s,0.0620539926423344,71.53261704843736,2.9274047531619626e-17,2.5960852652058823e-14
~ mitoribosomes,0.0615408536187425,70.34998954332403,5.31884129954043e-17,4.554212010651325e-14
~ MDM2 protein,-0.0614732460095199,70.19491812242272,5.752115350982613e-17,4.761025876008309e-14
~ ribonucleoprotein complex,-0.061238739024109,69.65837097474247,7.542478045431543e-17,6.041524914390667e-14
~ neuroblastoma,-0.0605465019574597,68.08668657891475,1.668546135760291e-16,1.2947396592832433e-13
processome,-0.0605038759286787,67.99049925187516,1.7516444381638731e-16,1.3180328195165798e-13
~ estimated,0.0601681688657851,67.23536516242815,2.565510258966108e-16,1.82195340496706e-13
~ family with sequence similarity 18 member b,-0.0601239372630921,67.13618912461509,2.6973800040803647e-16,1.82195340496706e-13
~ trans golgi network vesicle protein 23 homolog b,-0.0601239372630921,67.1361891246151,2.6973800040803647e-16,1.82195340496706e-13
~ prokaryotic,0.0601182401937874,67.12342054272091,2.7148433806041333e-16,1.82195340496706e-13
~ fanconi,-0.0599399624077548,66.72447485694038,3.3213625566910964e-16,2.144186884346104e-13
~ SSU,-0.0599276944674955,66.69706615917177,3.3676971724657907e-16,2.144186884346104e-13
heterogeneous nuclear ribonucleoprotein c,-0.0587853991865238,64.16991047553452,1.2086030137083006e-15,7.502705358347703e-13
~ endogenous retrovirus,0.0583947346151769,63.31694007971624,1.860711557667255e-15,1.126910455815503e-12
16s,0.0581853013096822,62.862040763805624,2.3422748732429303e-15,1.3816623327626045e-12
~ genome,-0.0581659080509736,62.82000146908933,2.392633414231887e-15,1.3816623327626045e-12
heterogeneous nuclear ribonucleoprotein c pseudogene,-0.0576152605002207,61.63227453726983,4.364462738537495e-15,2.4630448695596484e-12
biogenesis,-0.0575004908184897,61.386162216747714,4.9435181877293434e-15,2.7278333359890516e-12
1q44,-0.0567598194548619,59.80982275627146,1.0981824559174421e-14,5.928036644105653e-12
~ HSV 2,0.0567087348482741,59.70186472176554,1.1599004902861154e-14,6.127976398786071e-12
~ anemia,-0.0562510578045482,58.7390397169802,1.889024481882309e-14,9.77215977283742e-12
~ snoRNA u3,-0.0561642905583871,58.55739657940302,2.0711211561895554e-14,1.0495512128437318e-11
~ MT,0.0558285893638,57.85729631577817,2.953074492453625e-14,1.4665558544423193e-11
22q13_33,-0.0553709070484267,56.90965204061566,4.7739329896107815e-14,2.303432350383115e-11
~ work,-0.0553609750034302,56.88917500431069,4.823747824087712e-14,2.303432350383115e-11
~ usually,-0.055215215263971,56.58908782158004,5.616375794812768e-14,2.6313250445470916e-11
~ env,0.0547437290685766,55.623885899112075,9.162527679304009e-14,4.2132356445332927e-11
~ heterogeneous nuclear ribonucleoprotein c like 2,-0.0546987149175145,55.53217335267734,9.59878315080636e-14,4.3335888075940486e-11
~ 28s,0.0538217636879056,53.7606884789967,2.357973870045672e-13,1.0455508779840013e-10
~ mitochondrial ribosomes,0.0536849648449386,53.48695966305606,2.7094055353090553e-13,1.1803026113554238e-10
~ more than,-0.0536186093387606,53.354438848664074,2.897919621500685e-13,1.2406593469221295e-10
~ p36,-0.0534927375113338,53.10351150687777,3.29157442629468e-13,1.3853065182936135e-10
~ 12s,0.0533865862107013,52.892360978919946,3.664006492323466e-13,1.5163490868480666e-10
~ mitochondrial,0.0531864869860169,52.49548773497827,4.4819336269373884e-13,1.8244408834505296e-10
~ mammalian,0.0529518182330603,52.03197016152703,5.671350020531649e-13,2.271375683222925e-10
19p13_3,-0.0528662632827818,51.86349765924328,6.177956218760074e-13,2.4349973153655775e-10
~ snoRNA,-0.0527476192678122,51.630322950451934,6.954693961358328e-13,2.6983125899138845e-10
~ RNA 5s ribosomal,0.0524498253925938,51.04739289008026,9.351482211221616e-13,3.5724100736437525e-10
GTF2I,0.0517297085268133,49.65155629754623,1.9008407066292506e-12,7.15148114944105e-10
~ FANCA,-0.051702122889413,49.59847365776694,1.952831463787541e-12,7.209191429241989e-10
1p11_2,-0.0516909695274368,49.57701953054307,1.974245971521305e-12,7.209191429241989e-10
~ H2AK15Ub,0.0514700898158579,49.15310849288459,2.449053992879982e-12,8.813399956116352e-10
defensin beta 131,-0.0513880794730088,48.99618176208961,2.652474371128572e-12,9.409084444213367e-10
1p36_33,-0.0509419119564949,48.14687058053151,4.085439686920795e-12,1.4288106037454967e-09
~ parotid,-0.0508321626837719,47.93910192690501,4.5408742016597236e-12,1.566033990297397e-09
~ macrocephaly,-0.049657175521985,45.743073044815375,1.3885421693738812e-11,4.723135699688062e-09
~ sometimes,0.04908508708755,44.69262353880054,2.371023741489664e-11,7.956066287152682e-09
~ experienced,-0.0489356942141142,44.420337100428384,2.7238936338800045e-11,9.018267043049918e-09
~ MDM2,-0.0484526294925405,43.54562863739992,4.2541376593920845e-11,1.3899275292153273e-08
~ FANCE,-0.0479998182265315,42.73365467834749,6.436154955483533e-11,2.07553459350145e-08
increased chromosomal breakage,-0.0478340372825487,42.438303120845205,7.482607427678045e-11,2.3820592953419684e-08
~ isoelectric,-0.0477033071947861,42.20612458798623,8.423504218267089e-11,2.6476459904277223e-08
latter,0.047648689066226,42.10931190726893,8.850012788503243e-11,2.74693334439155e-08
~ val,0.0476186031480195,42.05603129362561,9.09389537737762e-11,2.787784149576095e-08
~ HERV,0.0475065878048828,41.85795646191924,1.0061042607621092e-10,3.046655475485845e-08
~ biochemical,0.0467555961998308,40.54214589337637,1.969478698886296e-10,5.8920633219332075e-08
~ chromosomal,-0.0463407241150662,39.82431871592184,2.841750026498574e-10,8.400416060474534e-08
~ family,-0.0462300294296852,39.633881217954986,3.132146776348985e-10,9.149921953355489e-08
~ DNA directed RNA polymerase,0.0460775964261897,39.3723895218517,3.5799152381015905e-10,1.0336380846197745e-07
arm skin,-0.0459264899320729,39.114033025705496,4.085234550254062e-10,1.1527324899699845e-07
